내용,1,2,3,4,답
Our experience has shown that the staff____________after a downsizing are in need of a forum to express their concerns. ,will remain            ,remaining ,remain               ,have remained,remaining 
Scientists will_________the experiment dozens of times before determining the outcome. ,conduct ,repeal,demolish              ,sentence,conduct 
The company has recently established the confidentiality policy in order to prevent their researchers from disclosing the information__________________  . ,requested ,has requested,have requested   ,requesting ,requested 
"____________  top of getting a flat tire, we ran out of gas. ",On    ,In     ,With    ,At,On    
All of those who have introduced a new member by July 1st are_____________________ to have their name entered in a raffle giveaway. ,active               ,valued,eligible    ,estimated,eligible    
A strong scent means the melon is ripening_________  .  ,nice              ,nicely ,nicest             ,nicer,nicely 
The manufacturer agreed to_____________________the faulty motor with a new one. ,repair                 ,replace   ,entire                ,take,replace   
The staff will need to work hard_______________ getting the product completed by the deadline or the company will lose the contract. ,for  ,in  ,on ,of,for  
New research suggests a________________________between nearsightedness and high intelligence. ,link   ,joint    ,cause    ,effect,link   
The university offers group leadership programs at_______________ rates. ,reasonable            ,handy ,accountable          ,cheaply ,reasonable            
The recent advances in communication techniques have made____________  possible for doctors to perform medical procedures that were impossible ten years ago. ,it ,if     ,them     ,those,it 
All employees were instructed to wash their hands before____________to their food preparation station. ,return                 ,returning  ,returned               ,have returned,returning  
You should complete the report_______________  the end of next week. ,until                  ,from ,by                   ,on ,by                   
The building manager reserves the____________to void the lease contract if the terms and conditions are violated. ,right,rightly,rightness,rightful,right
The plant food is made from concentrate and when____________with 10 parts of water it will not harm plants at any rate of application. ,diluted           ,lessened       ,reduced                ,diminished,diluted           
Of the five applicants that the director interviewed Mr. Trever is the____________ qualified. ,more             ,such,so                ,most ,most 
They had an____________reputation for excellence in the research and development of new products for the automobile industry. ,interacting            ,international ,inordinate             ,insubordinate,international 
We would like to express our deepest____________to Dr. Summers for providing the facilities for carrying out our research. ,aptitude ,gratitude ,multitude ,altitude,gratitude 
Many people mistake Gina for her mother____________the telephone because their voices are similar. ,about  ,over ,to ,for,over 
"The architect will_________  the layout of the building, which was designed to maximize energy efficiency. ",deal                 ,defend,describe ,deliver,describe 
"All employees should bring an umbrella to the corporate picnic in case it rains, but____________such events are postponed in the face of inclement weather. ",normally        ,normality,normal           ,normalcy,normally        
We should take his position into_______________before making any decisions. ,consideration          ,consider,considerate            ,considerably,consideration          
"Our new insurance will cover repairs to damaged vehicles at___________________________ savings, provided that regular maintenance is performed by a registered technician. ",substantiality,substantiate ,substantial ,substantially,substantial 
"If payment is not received_____________________ three days of delivery, a late fee will be charged. ",until    ,by    ,within ,during,within 
Permission to enter the laboratory may be given only on___________________________  dates. ,habitual             ,timely,designated    ,transported,designated    
Either the local government__________________the highway administration will have to provide the funding for the proposed highway construction.  ,but   ,or ,and   ,for,or 
The company's goal is to increase maximum production capacity_____________________ the next three months. ,before    ,until   ,by    ,within ,within 
"The number of judges on the United States Supreme Court is fixed by Congress,____________by the Constitution. ",nevertheless          ,instead,despite              ,not ,not 
"According to our most recent_____________________, we print only about 2 to 3 percent of the work that is submitted. ",calculated            ,calculates,calculations       ,calculate,calculations       
Clients with____________bills will not receive further service until their debts are paid.  ,paid                ,settled,outstanding ,accumulating,outstanding 
All of the Blackstone facilities are equipped____________state-of-the-art processing systems. ,from   ,in   ,under  ,with ,with 
Our budget team is looking forward to the European meeting and_____________________ any problems the international society may have. ,be discussing,have discussed,discuss,discussing,discussing
The owner of Eastwood Flower Shop took pride in her large____________of floral arrangements. ,crowd,type,selection ,plant,selection 
Management has requested that supervisors____________submit evaluations of their staff members. ,mutually            ,regularly ,progressively        ,sporadically,regularly 
This region of the country possesses a highly____________and skilled workforce. ,diversify             ,diversified ,diversifying          ,diversity,diversified 
"As they hire____________a good number of employees every year, there are many available positions for qualified candidates. ",just,hardly,nearly,quite ,quite 
The city building commission requires that developers___________________________certain that the construction crews adhere to safety regulations. ,make ,to make,made,making,make 
"The revised traffic regulations came into____________on January 1, 2015.  ",effect ,validity,affect,arrangement,effect 
He____________for his twenty-five years of dedicated service to the company. ,honored               ,honors,was honoring,was honored ,was honored 
"To accustom our overseas management team to____________new environment, an insightful two-day training program has been scheduled. ",them,their ,they ,them ,their 
"It's not always the sticker price that makes a car____________to a buyer, but an appealing design that represents the driver's personal tastes. ",attract,attracted,attracting,attractive ,attractive 
Herbs are plants which___________________________some of the properties of drugs and some of the qualities of food. ,including,in including,includes,include ,include 
Procedures have recently been_______________  to shorten the time taken to install the components with greater efficiency. ,streamlining,streamlined ,streamliner,streamline,streamlined 
The construction of the shopping center proceeded____________due to a labor dispute. ,definitely,usually,slowly ,thoroughly,slowly 
Our customer service department received a____________number of complaints regarding the sound quality of our audio system. ,susceptible,quarterly,voracious,significant ,significant 
"Before making a final decision on a major purchase, you should compare the price and quality of all products____________  . ",valid,workable,available ,remedial,available 
Balloons rise because the heated air inside is_________ than the surrounding air. ,lightest ,light ,lightly  ,lighter ,lighter 
"Seminar attendees were flowing into the auditorium steadily, and everything was____________as planned. ",completing,obtaining,proceeding ,marching,proceeding 
Mr. Miller's landscaping company donates a modest amount of_____________________  profits to charity. ,his,own,its ,their ,its 
"Starting Friday, the movie will be shown in cinemas____________the country.  ",instead of,despite,because of,throughout,throughout
Our new sunscreen product_____________________ will appear on store shelves in April___was specifically designed to improve___its water resistant properties. ,those,what,if,which ,which 
"Had we known the exact number of conference attendees beforehand, we____________ more adequate accommodations for them. ",arrange      ,would arrange,will arrange ,would have arranged,would have arranged
Experienced consultants were hired to set____________new procedures for performing background checks and processing job applications. ,by,up ,in,on,up 
"____________  he had more time, he would have finished the project on time. ",If                     ,Were,Had                  ,Would ,Had                  
"Psychologists discovered that infants as young____________six months can actually remember things quite well, but only for up to 24 hours. ",as ,than,of,at,as 
"____________ Sally has a degree in marketing, she’ll be responsible for publicizing our fundraising event.  ",Since ,So,Just,Only,Since 
Several researchers____________me about their efforts overcoming difficulties on the current project. ,gave,told ,suggested,recommended,told 
"You will be remembered by our firm for your punctuality, great work ethic, and the_________ speed at which you completed each assignment. ",impressed,impressive ,impression,impressively,impressive 
The demand for micro-electronic engineering graduates is predicted to rise_________  nearly 20 percent within the next two years. ,in,by ,on,for,by 
Our supervisor was____________when he told us that we need to work harder to increase productivity. ,emphatic ,emphasize,emphasizing,emphatically,emphatic 
All requests for time off should be made in writing to your immediate supervisor____________regular working hours. ,except  ,since    ,while   ,during ,during 
Jane was armed with all the facts and figures to prove____________parties wrong. ,opposed    ,opponents ,oppose    ,opposing ,opposing 
Mr. Lewis addressed the opposing point of view and asked other participants to present___________________________  arguments. ,persuasive ,persuasion,persuaded,persuadable,persuasive 
"The term ""transactions"" is often_______________  to any activity that involves the exchange of money or goods between two parties. ",applied ,named,placed,used,applied 
The store manager is looking to fill____________ new positions in the customer service department. ,much,abundant,greater,several ,several 
"Once the procession begins, be sure to____________the person in front of you and stay within three paces of him.  ",lead,follow ,precede,reject,follow 
The office supplies our receptionist ordered will be delivered________________________  today or tomorrow.  ,or,on,either ,both,either 
"Please fill out the bottom of the application form,____________it, and mail it to the bank in the enclosed envelope. ",detach ,withdraw,correspond,write,detach 
The Red Cross distributes donated blood____________the relief centers which need it. ,among ,within,inside,through,among 
"____________he has to visit many clients in town, Mr. Benson rents a car for the price that includes unlimited miles.  ",When ,For,Although,Now that,When 
The____________for extending the lease agreement were not in the original contract.___,provide                 ,provisions ,provider                ,provisioning,provisions 
It has been strongly____________that newborns be screened for a multitude of possible disorders within thirty days of being born.  ,reconsidered ,decided,ordered   ,recommended ,recommended 
"____________ all insurance providers cover every medical procedure, but most cover a substantial portion of the costs. ",None    ,No    ,Not ,Nothing,Not 
A common way for writers to learn about their own strengths and weaknesses is through_________  .  ,objection,dimensions,relevance,feedback ,feedback 
Each room in the hotel will be furnished with newly_________ dressers and nightstands. ,purchase,purchasing,purchased       ,purchases,purchased       
Unauthorized reproduction of this recording is____________prohibited by federal law and subject to criminal prosecution. ,efficiently,strictly ,dramatically,productively,strictly 
"When you get the chance, please take the time____________our company policy, the brief overview of our products, and any other documents if necessary.  ",reviewing,to review ,review,be reviewed,to review 
The London-to-Tokyo flight will touch____________for an hour at the airport for refueling.  ,down               ,through  ,for                ,in  ,down               
The South's lack of industry_____________________depend on the North specifically for the manufactured goods it could not produce. ,helped it                ,made it,caused it               ,let it ,made it
"Moulds cannot produce their own food,____________their nourishment living on dead organic matter or on other living matter. ",obtaining               ,to obtain ,obtained                ,is obtained ,obtaining               
____________ progress helps to relieve scarcities is a fact accepted by economics. ,Technological          ,There is technological ,Although technological ,That technological ,That technological 
"Although we____________your application for our company, we regret to inform you that we have no plan to hire additional staff this year. ",appreciating           ,appreciate,appreciative            ,appreciation,appreciate
The national parks have interpretative centers_________  tourists can acquire information about the animals and trees. ,which                  ,there ,that                    ,where ,where 
"One staff of your company gave us a discounted rate, but___________________________  indicated that we would have to pay full price. ",the others             ,other    ,either                 ,another,another
This year the travel expenses were____________high that many people decided to stay close to where they live.  ,too                     ,such ,very                    ,so,so
Recent____________in medical technology enables doctors to examine patients' brains without performing a surgery.  ,advances              ,indications ,mistakes               ,demands,advances              
"On international shipments,_____________________ duties and taxes are paid by the recipient. ",every  ,each,all  ,another ,all  
"Although the textbook gives a definitive answer, wise managers will look for their own_________ solutions. ",creativity  ,creative ,create ,creation,creative 
Initial negotiations_________ the merger of the companies took place yesterday at the Plaza Conference Center. ,due to  ,despite ,as of ,regarding,regarding
Contracts must be read________________________ before they are signed. ,carelessly ,thoroughly ,markedly,consistently,thoroughly 
Please submit photocopies of all relevant documents to this office ten days_________ your performance review date. ,thanks to ,prior to  ,in accordance with ,similar to,prior to  
The auditor's results for the five-year period under study were the same_________ the accountant's. ,than ,to ,as  ,of,as  
Rarely has the marketing environment been more complex and_________ to change. ,subject ,subjective ,subjecting  ,subjunctively,subject 
"All full-time staff are_________ to participate in the revised health plan, which becomes effective the first of the month. ",responsible  ,accessible  ,eligible ,recognizable,eligible 
Passengers should allow for__________________ travel time to the airport in rush hour traffic. ,unconditional  ,exceptional ,exclusive,additional,additional
"This fiscal year, the engineering team has worked well together on all__________________of project development. ",phases ,standards  ,regulations  ,codes,phases 
Mr. Dupont had no idea_________ long it would take to drive downtown. ,what ,how ,so ,quite,how 
"It is admirable that Ms. Jin wishes to handle all transactions by herself, but it_________  better if several people shared the responsibility. ",may be  ,might be ,might have been  ,is,might be 
Small company stocks________________________ benefit from the so-called January effect that causes the price of these stocks to rise between November and January. ,rarely  ,securely  ,cautiously  ,usually,usually
It has been suggested that employees continue to work in their current position_________ the quarterly review is finished. ,although  ,unless  ,until ,because,until 
This highway construction project will help the company_________. ,diverse ,diversity ,diversely ,diversify,diversify
_________ changes in heating oil costs have affected local production of furniture. ,late  ,lately ,recently,recent ,recent 
Ms. Patel has_________ in an outstanding business plan to the director. ,submitted  ,returned ,handed ,dealt,handed 
"That is the position for which Mr. Kaslov has_________  , but a final decision has not yet been made. ",achieved ,acquired ,applied  , apprehended,applied  
Any unsatisfactory item must be returned_________ 30 days and accompanied by the original receipt from this store. ,with   ,within  ,prior to  ,up to,within  
A list of telephone extensions that will be out of service_________ the new communications system is installed is available from the main office. ,because  ,although ,while ,after ,while 
Please confirm your flight number at least 24 hours_________. ,cautiously ,immediately ,in advance  ,thoroughly,in advance  
The first year's sales of the new calculator were_________ discouraging that the firm decided to withdraw it from the market. ,such  ,so ,too  ,very,so 
"From an investor's viewpoint, getting unbiased advice is the key___________________________  making sound investment decisions. ",to  ,for ,as ,through ,to  
Staff members are reminded that professional attire is a daily_________ of the company. ,restructuring  ,reimbursement ,reminder  ,requirement,requirement
Ms. Lee did such good work on that project that she was_________ offered a promotion. ,markedly ,quickly  ,consistently,significantly,quickly  
"In spite of higher prices this year,____________ at area theaters remains above average. ",attendee  ,attendance  ,attendant ,attend,attendance  
We have approached the_________ with a good deal of caution since the ideas put forward are very unconventional. ,profession  ,prohibition   ,prospectus  ,proposal ,proposal 
Executives of small companies earn higher salaries on the west coast_______________  on the east coast. ,to  ,above ,than  ,among,than  
Private financing can take a__________________  of forms. ,vary ,various  ,variety ,varying,variety 
It is one of the most interesting books_________ the topic. ,on ,to  ,at ,by,on 
The corporate headquarters are_____________________in the capital of the country. ,local  ,location ,located ,locally ,located 
The satellite photographed a previously_________ moon in orbit around Saturn. ,detective  ,detected ,undetected  ,detecting ,undetected  
The_________ toward shorter working hours continues. ,trial   ,trend ,testimony ,torture,trend 
Inflation is likely to_________ personal spending quite a bit in July. ,assume ,acquire ,affect ,assess,affect 
You need about forty different nutrients_________ healthy. ,stay   ,staying  ,stayed ,to stay,to stay
"The ceiling fans were on, but unfortunately they_________ stirred up the hot, humid air. ",always ,only  ,usually ,rarely,only  
Quarterly earnings are seldom__________________to the shareholders. ,report  ,to report ,reported ,reports,reported 
"Unfortunately, there are_________ who will probably not respect the arbiter's decision. ",ones ,those  ,some ,any,those  
There is a growing concern_____________________  the effect of the industrial waste disposal on the natural environment.  ,for                   ,to  ,in                    ,by,for                   
"The company has a strong________________________for more sales staff, which is considered essential to achieve this year's sales target. ",need                  ,increase,help                   ,charge ,need                  
"We must have waited over an hour for her to come, but she never turned__________________. ",up                     ,in ,out                    ,back,up                     
All the students had to get_____________________  from their parents before attending the camp. ,remission              ,permission ,consensus             ,allowance,permission 
The sign____________not to walk on the grass. ,say                    ,talk   ,said                   ,wrote,said                   
We are going to____________the money from the City Bank. ,achieve                ,rent   ,borrow                ,lend,borrow                
"When ordering upgraded desktop units for your department, be sure that the models you have selected___________________________with all building and electrical specifications.  ",comply               ,compliant       ,complying            ,compliance,comply               
He____________from the company after 20 years of sincere service.  ,left                    ,walked out       ,resigned               ,dismissed,resigned               
We did not feel the response was_______________ and asked for more information. ,satisfy              ,satisfaction   ,satisfied               ,satisfactory,satisfactory
" _________ 1996 there were no methods for curing AIDS but in 1997 a research team led by Dr. David Ho developed ""AIDS cocktail"". ",Prior to ,As soon as ,Previous ,Not until,Prior to 
Recently the same machine________________________several times.___,broke down           ,broke off   ,broke out              ,broke through,broke down           
"____________  to an auditing report submitted by the insurer to the Financial Supervisory Commission, the company sharply increased its stake in Citi Life. ",Attempting             ,Adopting ,Acquitting             ,According,According
Candidates must have a doctor's degree to be eligible_________ the professional positions in this company. ,by ,on ,with ,for,for
The marketing manager was concerned____________the major changes in the working condition. ,about ,on ,at ,to,about 
The construction company will__________________ the electrical work for the airport project to one of the affiliated company.  ,subordinate            ,subcontract  ,subtract               ,subscribe,subcontract  
The police haven't caught the man who____________the bank yesterday. ,robbed                 ,stole  ,robbed from           ,stole from,robbed                 
"The____________schedule, established early in the project, was the only guideline the team was given.  ",producing              ,product ,productive             ,production,production
Tens of thousands of people swarmed the street of Pristina on the first__________________ September to celebrate the 10th anniversary of a unilateral declaration of independence. ,in                     ,on ,at                     ,of ,of 
"Ten people had been killed, and it was obvious that the situation had gotten____________the control of the authorities. ",on                    ,off     ,above                 ,beyond,beyond
"Given the rapid growth rate of imports, the nation's trade surplus is_______________to drop significantly in the coming months. ",likely                  ,lovely     ,liking                  ,reliably,likely                  
"____________ to the hikes in oil prices in February, the country began to pay higher for its crude oil imports. ",According             ,Because ,Due                   ,Although,Due                   
"Attractive remuneration_________ with qualifications, experience, and commitment will be offered to all successful candidates. ",eligible ,come ,commensurate ,adaptable,commensurate 
The Micro Software Company__________________its recent gains in market to price cutting. ,accounts,attributes,accuses,appraises,attributes
"If we modernize our management, we will continue to grow and prosper well____________the next century. ",about  ,of ,as ,into,into
He was_________ known as Alan Smith before he was forced to change his name because of his involvement in the CIA. ,previously ,presumably ,before ,foremost,previously 
The aim of the Microsoft Windows operating system is to make computers more_________ for the general public. ,user-friendly ,friend ,utilized ,obsolete,user-friendly 
I will only_________ receipt of a letter once I have it in front of me and I am given some time to go through it and give it my own seal of approval. ,denounce,denote ,knowledge ,acknowledge,acknowledge
"The board has made a(n)_____________________ decision to approve the appointment of our new company president, so I would like to introduce him to you now. ",anonymous ,unanimous ,announced ,animated,unanimous 
The goal of web advertising is to make the practice of shopping at department stores and markets_________. ,dead ,deceased ,obsolete ,released,obsolete 
The man was____________ for the damage caused by his daughter's carelessness. ,responsible           ,likely ,care,request,responsible           
"If all employees do their_________ to ensure a quality product, this company will be sure to succeed. ",almost ,most ,utmost ,mostly,utmost 
"Among all the statesmen who will be at the dinner party tonight, Mr. Kim is by far the most well-respected__________________ . ",dignitary ,agent ,investigator,attorney,dignitary 
"Before you decide to travel around Europe, it is important to go to a travel agent so that you can put together a good_________.  ",list  ,travel paper ,travel list ,itinerary,itinerary
I try to read the newspapers everyday to keep____________of what's happening in this world. ,abreast               ,early hours ,time                  ,company,abreast               
The task force team members' strong supports____________ him to complete the assigned work on time. ,enabled               ,made ,possible              ,prepared,enabled               
"Most employees____________with the outcome of the collective bargaining, since it resulted in a 10% rise in average wages. ",pleasing              ,were pleased ,pleased               ,pleasure,were pleased 
Singapore____________the center of trade in the Southeast Asia region in recent years. ,will become           ,is becoming       ,becoming             ,has become,has become
"_________  all the problems we have experienced during the rehearsals for this concert, I think that at the end of the day it will be a success. ",Apart ,Aside from ,Side ,Beside of,Aside from 
The privatization of the transport industry will result in a huge_____________________ for the economy of the region. ,boost ,increase ,decrease ,succession,boost 
"Whenever you buy some milk at the store, it is important to check the__________________date on the side of the bottle. ",inspiration ,inhalation ,exhalation ,expiration,expiration
_________  had Mr. Smith left the office than his employees stopped work and put their feet up for the rest of the day. ,No sooner ,Until sooner ,As soon   ,Sooner than,No sooner 
"In China, the gross national product grew____________a 3 percent rate in the past year. ",at                     ,in ,on                   ,up,at                     
"If we receive the architect's plans next week, the building____________next April. ",complete              ,is completed ,will be completed      ,will have completed,will be completed      
The security gate operates_____________________  a radio-controlled device on weekends. ,in support of         ,by means of        ,on behalf of          ,with reference to,by means of        
"Since this is still under_________  , you should return it to the manufacturer to be repaired. ",warranty              ,promise   ,debate               ,requirement ,warranty              
Ms. Stone and I have same question____________  the warehouse inventory in Seoul.___ ,concern               ,regard ,concerning           ,regardless,concerning           
"_________  all of the actors had learned their lines before they started rehearsing for the new production of the classic musical, CATS. ",Undecidedly ,Presumably,Profusely    ,Confusingly,Presumably
"Faced_________ a large budget deficit which had built up during the nineties, the president decided to create more jobs and privatize big industry. ",in ,towards ,with ,within,with 
Parking spaces will be_________ to all company employees as soon as everyone has paid the registration fee.___,assigned ,designed ,inclined ,aligned,assigned 
The fact that the man was a known felon is irrelevant_________ the evidence which has been presented in this case today. ,in ,to ,of ,with,to 
Recruitment for flight personnel began three months ago____________is expected to continue for another month. ,as                     ,moreover        ,and                   ,just,and                   
I think that the new offshore investment which we embarked on this month will yield high_________ for the company. ,divides ,spoils ,money ,dividends,dividends
"Media_________ of this year's Olympics will be far more extensive than the previous time, so that viewers will be able to see as much of the games as possible. ",exposure ,coverage ,cover ,allowance,coverage 
"Once we have planned the length of your stay in the United Kingdom, we will be able to_________ your flight number and hotel reservations. ",consent ,detect ,conform ,confirm,confirm
"I will be away until next Tuesday,_________  if any of my friends call for me please take a message and tell them I will get back to them as soon as possible. ",but ,so ,otherwise ,furthermore,so 
A list of telephone_________ will be made available to all employees as soon as possible so that anyone can be easily contacted during working hours. ,extensions ,attentions ,exceptions ,intentions,extensions 
"Once you reach adulthood, you will be able to make an_________ decision about your future career and marriage plans. ",deformed ,informed ,observed ,conserved,informed 
Would you please____________this application form while you wait? ,fill out                ,subscribe down    ,fill up                 ,write down,fill out                
Our travel agency will provide full compensation for any_________ vacation bookings or plane tickets our clients have bought this summer. ,disused ,excused ,unused ,accused,unused 
This amazing offer for a new Health Walker fitness machine will be available at_________ outlets this summer. ,designated ,assigned ,designed ,resigned,designated 
There is a general fear amongst residents of this town that waste from the nearby industrial site will_____________________their water supply. ,amputate ,isolate ,insulate ,contaminate,contaminate
"In order to free up some space on the hard drive of this computer, I will have to_________ many files from the folders in my directory. ",throw ,discard ,retard ,expel,discard 
"The bridge will be_________construction for the next two years, so please use the alternative route until it is finished. ",over ,in ,during ,under,under
"Even though the situation in the Middle East is very tense presently, I think that effective_________ by the Western powers in the dispute will help to ease these tensions. ",attrition ,inhalation ,annihilation ,arbitration,arbitration
I think we should take_________ of the present favorable economic circumstances and invest as much money as possible in saving for the future. ,advantage ,control ,weight ,notice,advantage 
They want to____________their distribution network to cover all of South America. ,enclose               ,enlarge    ,endorse               ,engage,enlarge    
I think that we can_________ that all the victims of the recent Concorde air crash were killed immediately on impact with the ground. ,consume ,amend ,assume ,induce,assume 
"When crossing the enemy lines, the soldiers were told by their commanding officer to proceed with_________. ",caution ,warning ,danger ,intent,caution 
The development of high technology industry in this country will almost definitely increase the_________ for economic growth. ,mind ,decease ,overwhelm ,chances,chances
"Help me to get this sick person to hospital,_________ he might suffer permanent brain damage or paralysis. ",of course ,as a result ,otherwise ,in case,otherwise 
"The decisions of this company are strongly influenced not only by the needs of its clients, but also by the decisions of the_________. ",stockers ,stockbrokers ,stockade ,stockholders,stockholders
"It seems clear that McDonalds has a_________  on the fast food industry not only in this country, but right across the planet. ",monogamy ,monopoly ,monotony ,monopsony,monopoly 
The salesman_________ the amazing features of the new cell-phone which included voice recognition programming and internet access. ,demonstrated ,desolated ,recreated ,isolated,demonstrated 
We have____________to see the significance of the merger on our operation.___ ,once                  ,always        ,yet                   ,not,yet                   
All personnel must_________ their immediate supervisors if there are any changes to the running schedule at the plant. ,notarize ,notify ,write out to ,note,notify 
"The long-term_________ for economic recovery in this region of the country is fairly good, however it will take a lot of effort by the citizens to make things change. ",fortunetelling ,forecast ,foreknowledge ,foreboding,forecast 
"If you are walking late at night in this neighborhood, try to be conscious_________ your surroundings at all times.  ",of ,to ,that ,on,of 
"I know that you are_________ a very difficult time presently, but please don't take it out on me. ",going on ,moving up,going through ,experiencing through,going through 
"He was a very good administrator, but he was known to_________ when it came to issues relating to the staff in his company. ",procrastinate ,commiserate ,donate ,accurate,procrastinate 
"At this time, I would like to__________________ a number of pertinent issues that affect all of the people living in this city.",get even with ,head on ,take advantage of ,concentrate on,concentrate on
"I hope that all forms of racial or gender_________ will be eradicated within the next few years, so that all people can reach their true potential. ",recrimination ,abolition ,discrimination ,determination,discrimination 
The most important element of hotel management is maintaining high standards of customer service and_______________. ,serenity ,hospitality ,enmity ,kind,hospitality 
He rose to the_________ of head teacher within just a few weeks of arriving at the elementary school. ,portion ,level ,statue ,location,level 
"In light of new evidence in this case, I think we can now_________ the list of suspects. ",narrow down ,cut down ,cut out ,narrow out,narrow down 
The programming schedule this evening will be changed_________ largely to unforseen technical problems. ,due ,before ,view ,terms ,due 
I sincerely hope that the craft fair will help to_________ funds to keep our charity alive. ,detonate ,generate ,manufacture ,capitalize,generate 
This company has only a__________________  interest in trade with Eastern Europe because of recent economic troubles in that region. ,marginal ,partially ,major ,half way,marginal 
The World AIDS Conference next week will focus_________ effective ways to prevent transmission of the disease amongst young people. ,to ,at ,on ,into,on 
The police chief told the detective to_________  with the investigation after the evidence had been gathered. ,proceed ,recede ,concede ,decide,proceed 
I will come with you to the concert____________you don't drink and drive on the way home. ,providing that ,as soon as ,in case        ,certain that,providing that 
"There had been a number of messages left for him_________ the day, but he was unavailable for comment. ",in ,at ,out ,throughout,throughout
The governor will be_________ for comment as soon as he has been advised by the president this afternoon. ,there ,open ,appoint ,available,available
"_________  I don't see you later, have a good afternoon and a wonderful evening with your family. ",In fact ,In case ,In time ,Now ,In case 
The success of this department depends on_________ processing of tax and other forms so that they can be sent out to the general public. ,sufficient ,efficient ,deficient ,profound,efficient 
The_________ of toxic substances produced by exhaust fumes may result in allergies and respiratory illness. ,inhalation ,inhale ,exhale ,exit,inhalation 
The announcement of a new rule banning the use of computer facilities for games caused some_________ among the students. ,apprehension ,comprehend ,apprehend ,determination,apprehension 
The board of directors decided to use computer systems to_________ the information resources of their company. ,accommodated ,dictate ,facilitated ,automate,automate
The congressman spoke with his____________  supporters in order to clarify his position on the issue of increasing taxes in his constituency. ,location ,locally ,local ,locality,local 
I want us to try and work___________________________in order to make this organization as successful as possible. ,cooperatively   ,coercively ,conversationally ,undeniably,cooperatively   
"If you don't_________ with the local traffic regulations, you may be fined or even jailed for up to a month. ",interfere,obey ,comply ,seek,comply 
Office supplies are_________ weekly so as to make sure there are always adequate provisions in our offices. ,arraigned,ordered ,transferred ,contained,ordered 
All our clients will be presented with a highly_________ booklet designed to bring to attention all the most important elements of our new program. ,informed ,functioning ,informing ,informative,informative
The management will_________ sick leave to any employees who feel burnt out and are consequently unable to fulfill their normal duties. ,accord ,discord ,record ,include,accord 
The goal of this meeting is to give a chance for all the citizens of the neighborhood to contribute_________ the present debate surrounding the upsurge of crime in our community. ,for ,into ,of ,to,to
The suggestion that the witness should be allowed to give evidence was_________  received by the presiding judge of the court. ,favorite ,favorably ,favor ,favoringly,favorably 
Newborn babies must be handled____________ .  ,gently   ,lightly,weakly ,finely ,gently   
The bridge_________ and fell into the river. ,clinched ,crunched,crawled,collapsed,collapsed
I will agree to your proposal__________________you keep in mind the fiscal limitations of the company. ,as long as ,concerning ,certainly ,therefore,as long as 
The estimate which the government proposed for economic growth this year doesn't come_________ to the actual figures. ,away ,down ,closely ,close,close
Please_________ this form carefully for any possible typing errors before it goes to the printing press next week. ,examine ,obliterate,look out ,determine,examine 
"The_________ document is of vital importance to our company, and must not be detached from the manifesto document itself. ",detracted ,detached ,attached ,connected,attached 
Each part of the new dust-buster vacuum cleaner is made_________ and put together with the utmost care and precision. ,variably ,separately ,indirectly ,determinately,separately 
The technological advances in the modern world will lead to new ways of life not_________ seen by humanity.___ ,yet ,then ,now ,until,yet 
We have_________ to understand how the HIV virus will affect the world and the general health of people in the future.  ,not ,yet ,can't ,nor,yet 
A_________ of fine wines will be served at the dinner tonight to celebrate the promotion of our new colleagues. ,selection ,great ,some ,collective,selection 
The manifesto will be printed next week in an attempt to_________ the company's plan for the future. ,reduce ,concoct ,reveal ,conceal,reveal 
I would like to_________ this issue so that we can bring our present meeting to a close. ,enunciate ,alleviate ,aggravate ,consolidate,consolidate
The charges brought before the court today are so serious that justice will have to be dealt out_________ to the accused without any chance for appeal. ,accordingly ,discordantly ,according ,accorded,accordingly 
Any_________ use of the computer facilities in this office will result in a fine or possibly imprisonment. ,unauthorized ,legalized ,unknown   ,unannounced,unauthorized 
The staff at the health club had a huge party on Saturday night at the owner's_________ . ,expense ,toll ,fare ,fee,expense 
It has come to my attention that a____________of our party is bent on creating disunity at this conference. ,part ,faction ,members ,section,faction 
You will have to make a large_____________________  into your savings account to improve your credit record at this bank. ,withdrawal ,contribution,accumulation ,deposit,deposit
She has put_________ a lot of weight since last year. ,in ,on ,over ,up ,on 
The modern steam engine was first_______________to facilitate the mining of coal. ,using ,used,use   ,useful,used
"He earns $15,000 a year,_____________________ his wife gets at least $30,000.  ",when  ,instead,while ,meantime,while 
I found the start quite boring so I____________  really got into the story.___,always ,often,never ,quite,never 
The town we are going to visit today is approximately 15 kilometers_____________________from the downtown area of Seoul. ,far ,away ,wide ,except,away 
All citizens will be_________ to the rules as set out in the new Amendments to the Bill of Rights. ,subjected ,subjecting ,subjects ,subject,subject
The contents of the UFO found in the Sahara desert last month________________________ description. ,deny ,decide ,explain ,defy,defy
The constant overproduction of toxic waste products_________ account for phenomena such as global warming. ,accurately ,potentially ,attentively ,accordingly,accurately 
The most important thing to bear in mind when running a large restaurant is customer_________. ,satisfactory ,satisfy ,satisfaction ,satisfied,satisfaction 
It is_________ for all hikers to return the equipment after we return from the hiking trip. ,definite ,absolute ,revised ,mandatory,mandatory
Many rare animal species will face__________________ if we do not address the problem of relentless poaching in national parks. ,extinction ,extension ,detention ,excision,extinction 
All members of the board are__________________invited to a banquet in honor of our new chairman and his contribution to the company. ,excessively  ,considerably ,cordially     ,nutritiously,cordially     
